Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow_Original (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),Flow (lpm),,,,
Mon Jan 30 2023,495069,24998.66,0.8678311,0.8679048,0.6000061,0.6261261,0.6164199,159.7,24.9,20,9.621398,800,103.1779,11.43487,0.438798859,2.8277262,96.682734,96.7850078,0.418989959,,,,
Mon Jan 30 2023,501210,25001.83,0.8589118,0.859063,0.5954654,0.620039,0.6099946,161,24.9,20,9.621398,800,103.1779,11.1967,0.732570374,2.400192,91.207296,91.737104,0.712761474,,,,
Mon Jan 30 2023,507351,25000.56,0.8526176,0.852256,0.590696,0.6157576,0.6043594,159.9,24.9,20,9.621398,800,103.1779,11.17927,1.046223755,1.5451236,83.781702,85.1665784,1.046223755,,,,
Mon Jan 30 2023,513480,24999.58,0.8549345,0.8558841,0.5885767,0.6138901,0.6101542,154.1,24.9,20,9.621398,800,103.1779,10.98811,1.365687744,0.450036,75.681054,78.161018,1.365687744,,,,
Mon Jan 30 2023,519618,25000.51,0.8522784,0.8514434,0.5907189,0.61237,0.6066465,153.7,24.9,20,9.621398,800,103.1779,10.97121,1.555282104,0.037503,70.88067,73.773167,1.582412438,,,,
Mon Jan 30 2023,525758,25000.79,0.8546206,0.8546758,0.5921911,0.6131162,0.6097953,146.2,24.9,20,9.621398,800,103.1779,10.91266,1.829780029,-1.3426074,59.854788,64.1273954,1.882311842,,,,
Mon Jan 30 2023,531898,24999.15,0.8538409,0.854032,0.5925577,0.6119167,0.6023892,145.6,24.9,20,9.621398,800,103.1779,11.28163,2.078841553,-2.4976998,48.978918,54.4066178,2.154421012,,,,
Mon Jan 30 2023,538039,25000.51,0.8441659,0.8444217,0.5837793,0.612359,0.6004608,136.6,25,20,9.621398,800,103.1779,10.98274,2.322593018,-3.7202976,38.62809,45.2783876,2.420728742,,,,
Mon Jan 30 2023,544180,25003.15,0.8408588,0.8401263,0.5813176,0.6062433,0.5993329,132.5,25,20,9.621398,800,103.1779,11.0588,2.444028076,-4.200336,33.227658,40.357994,2.553401154,,,,
Mon Jan 30 2023,550320,24997.11,0.8358293,0.8359726,0.5841407,0.5969303,0.5968934,131.1,25,20,9.621398,800,103.1779,10.90552,2.63709082,-5.512941,24.226938,32.669879,2.764329532,,,,
Mon Jan 30 2023,556461,24999.62,0.831637,0.8317806,0.5754673,0.5983325,0.5911191,125,25,20,9.621398,800,103.1779,10.85228,2.775121094,-7.0355628,16.801344,26.7669068,2.915132846,,,,
Mon Jan 30 2023,562601,25001.29,0.828348,0.8277978,0.5750129,0.5938749,0.5906191,124.6,25,20,9.621398,800,103.1779,10.75315,2.847263916,-7.463097,13.576086,23.969183,2.993951618,,,,
Mon Jan 30 2023,568742,25003.35,0.8263686,0.8255538,0.575802,0.5922661,0.590688,119.9,25,20,9.621398,800,103.1779,10.61311,2.985003418,-8.663193,7.650612,19.243805,3.144437253,,,,
Mon Jan 30 2023,574883,25001.48,0.8259733,0.8254575,0.5723009,0.5942214,0.5931745,118.7,25,20,9.621398,800,103.1779,10.46427,3.118209717,-9.7057764,1.275102,13.9108784,3.289970192,,,,
Mon Jan 30 2023,581010,24998.78,0.8255897,0.8263351,0.5720464,0.5956031,0.5877728,113.5,25,20,9.621398,800,103.1779,10.46059,3.179016113,-10.538343,-2.925234,10.543109,3.356403489,,,,
Mon Jan 30 2023,587149,24999.23,0.822765,0.8233711,0.5678435,0.5925673,0.5861818,111.4,25.1,20,9.621398,800,103.1779,10.87943,3.294016846,-11.3484078,-6.525522,7.7528858,3.482046155,,,,
Mon Jan 30 2023,593290,24997.25,0.8239065,0.824406,0.5669079,0.5882021,0.5860202,108.7,25.1,20,9.621398,800,103.1779,10.53727,3.313002197,-11.3334066,-6.975558,7.2878486,3.502788372,,,,
Mon Jan 30 2023,599430,25000.76,0.8215887,0.8207011,0.5674034,0.5903926,0.5865336,107,25.1,20,9.621398,800,103.1779,10.64794,3.402670898,-11.963457,-10.50084,4.392617,3.600754833,,,,
Mon Jan 30 2023,605571,25002.3,0.8198094,0.8193988,0.5672833,0.5899338,0.5814071,105.3,25.1,20,9.621398,800,103.1779,10.77534,3.505147217,-12.5185014,-14.62617,0.8223314,3.712714101,,,,
Mon Jan 30 2023,611711,24999.4,0.8192591,0.8189798,0.5703747,0.5880703,0.5843321,102.5,25.1,20,9.621398,800,103.1779,10.65376,3.549530273,-13.0060404,-19.051524,-3.1154836,3.761204276,,,,
Mon Jan 30 2023,617852,24998.73,0.8181413,0.8178334,0.5650982,0.5862447,0.5832009,100.9,25.1,20,9.621398,800,103.1779,10.44643,3.561873535,-13.3810704,-22.651812,-6.3407416,3.774689758,,,,
Mon Jan 30 2023,623993,25001.45,0.8169875,0.8178282,0.5676817,0.5865385,0.5857908,100.1,25.2,20,9.621398,800,103.1779,10.51791,3.637112793,-14.0336226,-22.801824,-5.8382014,3.856891503,,,,
Mon Jan 30 2023,630134,25001.9,0.8150808,0.8143653,0.5631456,0.5848567,0.5822922,95.9,25.2,20,9.621398,800,103.1779,10.51768,3.69805957,-14.7986838,-26.027082,-8.2983982,3.923478171,,,,
Mon Jan 30 2023,636274,25001.27,0.8166312,0.8159446,0.5679699,0.5863453,0.5811538,94.7,25.2,20,9.621398,800,103.1779,10.4666,3.719341309,-14.3861508,-27.227178,-9.9110272,3.946729278,,,,
Mon Jan 30 2023,642416,25001.43,0.8153811,0.815113,0.5616739,0.5889069,0.5837485,93.5,25.2,20,9.621398,800,103.1779,10.57355,3.764598633,-14.9411952,-27.077166,-9.2059708,3.996174623,,,,
